Label,asylum,border security,CBP Home,self-deport,immigration law,undocumented immigrants,executive order,ICE operations,repatriation flights,temporary restraining order,constitutional rights,lawsuits,ACLU,Judge Frimpong,Fourth Amendment,racial profiling,reasonable suspicion,privacy concerns,human rights violations,misinformation,free press,Guardian,accountability,suppression of dissent,Trump administration,Biden administration,sanctuary policies,deportation plans,biometric data,surveillance,data privacy,protests,public unrest,community fear,voluntary departure
0,0,0,0,0,0,0,0,0,0,0.3529411765,0.1176470588,0,0,0.5882352941,0.2352941176,0.1764705882,0.3529411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.6,0,0,0,0,0,0.6,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0.3529411765,0.1176470588,0,0,0.5882352941,0.2352941176,0,0.3529411765,0,0,0,0,0,0,0,0.05882352941,0,0.05882352941,0.05882352941,0,0,0,0,0,0,0
0,1.125,0.125,0,0,0.125,0,0.375,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666667,0,0
0,0.125,0,0.25,0.25,0,0.08333333333,0.125,0,0,0,0,0,0,0,0,0,0,0.08333333333,0,0.04166666667,0.04166666667,0.08333333333,0.04166666667,0.04166666667,0,0,0,0,0.04166666667,0.04166666667,0.04166666667,0.04166666667,0,0,0.25
1,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
1,0,0.8,0,0,0.6,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.4,0.2,0,0,0,0,0,0,0
1,0,0.7,0,0,0.5,0.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.3,0.4,0,0,0,0,0,0,0
0,0.8,0,0,0,0,0,0,0,0,0.4,0.3,0.2,0.2,0.6,0.3,0.4,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
0,0.6,0,0,0,0,0,0,0,0,0.5,0.4,0.3,0.3,0.7,0.4,0.5,0.3,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0
