Document Name,Protest,Raid,Arrest,Immigration,Enforcement,Violence,Detention,Rights,Safety,Surveillance,Controversy,Inhumane,Resistance,Authority,Fear,Protect,Clash,Stereotype,Cruel,Exploitation
0,0.4092549435,0,1.124409663,0.4496572637,0.3238496576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1.967716911,0.3934501057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.9549282014,0,0,0.524600141,0.7556492012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0.6559056369,0.3934501057,0.5667369009,0,0,0,0,0,0,0,0,0.969096379,0,0,0,0,0,0
0,0,0,0,0,0,0,1.388886614,0,0,0,0,1.735460204,0,0,0,0,0,0,0,0
0,0,0,0,0.7869002115,1.133473802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.432392302,0,0,0,0,0,0,0,0,1.938192758,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.266947603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,2.266947603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.2623622547,0.7869002115,0.2266947603,0,0.2777773227,0,0,0,0,0,0,0,0,0,0,0,0,0.9139065393
0,0.4774641007,0,0.4372704246,0.7869002115,0,0,0,0,0,0.6460642527,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,4.164067588,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.7161961511,0,0.6559056369,0,0,0,0.6944433068,0.9133104912,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.876385516,0,0,0,0,0,0
1,0.4523344112,0.5237004834,0,0.414158006,0.2386260635,0,0,0,0,0,0,0.3653600429,0,0.4080405806,0.2040202903,0,0.1922758929,0,0,0
0,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2.186352123,0.2623000705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.829192432,0,0.3934501057,0.5667369009,0,0,0,0,0,0,0,0,0,0.969096379,0,0,0,0,0
0,0,0,0,0,0,0,0.5555546455,1.461296786,0,0,0,0.6941840816,0,0,0,0,0,0,0.7306483929,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2.623622547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.4774641007,0.5527949547,0.4372704246,0.2623000705,0.3778246006,0,0,0,0,0,0,0,0,0,0,0,0.6088736608,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.6944433068,0,0,0,0,0.867730102,0,0,0,0,0,1.142383174,0.9133104912,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.2623000705,0.3778246006,0,0.9259244091,0,0,0,0,0.5784867346,0,0,0,0,0,0,0.6088736608,0
1,0,0,0,0,1.133473802,0,1.388886614,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.5729569208,0.6633539456,0,0.3147600846,0.4533895207,0,0,0,0,0,0,0,0,0,0,0,0.7306483929,0,0,0
1,0.5729569208,0.6633539456,0.5247245095,0,0.4533895207,0,0,0,0,0,0,0,0,0,0,0,0.7306483929,0,0,0
0,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.180350317,0,0,0,0,0,0.969096379,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.4372704246,0.7869002115,0.7556492012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1.573800423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.049449019,0.3147600846,0.4533895207,0,0,0.7306483929,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,2.266947603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2.623622547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.7869002115,0,0,0,1.826620982,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.260434964,0,0,0.5722910629,0.6182584373,0,0.2525248388,0,0,0,0,0,0.4154120633,0,0,0,0,0,0.3321129059,0
1,0,0,0,0.7869002115,0,0,0,0,0,0,0,0,0,0,1.938192758,0,0,0,0,0
0,0,0,0,0.524600141,0.7556492012,0,0.9259244091,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
